title,reviewer 1,reviewer 2
Drivers of adaptive capacity in wild populations: Implications for genetic interventions,Abby Keller,Collin VanBuren
Finding a path for REDDplus between ODA and the CDM,Collin VanBuren,Kira Sullivan-Wiley
Modelling machine-induced soil deformation in forest soils using stump proximity and machine learning,Collin VanBuren,Kira Sullivan-Wiley
Aggregated occurrence records of invasive European frog-bit (Hydrocharis morsus-ranae L.) across North America,Collin VanBuren,Kira Sullivan-Wiley
"A GIS-Based Decision Support System to Study the Impact of Land Use Policies on Water-Related Ecosystem Services-A Case Study of Kozhikode, Kerala",Collin VanBuren,Gerbrand Koren
Predicting foundation bunchgrass species abundances: model-assisted decision-making in protected-area sagebrush steppe,Abby Keller,Charlotte Malmborg
AI sea ice forecasts for Arctic conservation: A case study predicting the timing of caribou sea ice migrations,Abby Keller,Snigdha Nautiyal
A multiscale approach to mapping seabed sediments,Jody Peters,Abby Keller
Systematic planning shows more than half of the most species-rich ocean region is needed to include all species in representative protected areas,Charlotte Malmborg,Abby Keller
A multi-media planning model for assessing co-located energy and desalination plants,Collin VanBuren,Kaila Frazer
Does it help? Testing the usefulness of a tool to aid Integrated Catchment Management,Abby Keller,Collin VanBuren
Leveraging Google Earth Engine for a More Effective Grassland Management: A Decision Support Application Perspective,Collin VanBuren,Abby Keller
Evaluating the performance of mainstream Swedish growth models in uneven-aged forestry systems,Abby Keller,Collin VanBuren
Development of a classification and decision-support tool for assessing lake hydromorphology,Abby Keller,Collin VanBuren
Comparing support vector machines and k-nearest neighbors for Eucalyptus tree identification using bark images,Abby Keller,Chris Jones
Dealing with nature,Prabhjot Singh,Chris Jones
Mapping Coral Reef Resilience Indicators Using Field and Remotely Sensed Data,Jody Peters,Abby Keller
"Shuffling the deck: A gamified multicriteria approach to prioritize agroecological restoration areas in Northeastern Para, Brazilian Amazon",Abby Keller,Snigdha Nautiyal
Otters vs. fishermen: Stakeholders' perceptions of otter predation and damage compensation in the Czech Republic,Abby Keller,Snigdha Nautiyal
